,Company,Symbol,Industry,Offer Date,Shares,Offer_Price,1st Day Close,Current Price,Return,SCOOP Rating,latlng
26,Fulcrum Therapeutics,FULC,Health Care,7/18/19,4.5,$16.00 ,$13.50 ,$7.76 ,-51.50%,S/O,
27,Owl Rock Capital Corp.,ORCC,Financials,7/18/19,10,$15.30 ,$15.49 ,$16.35 ,6.86%,S/O,
28,Phreesia,PHR,Consumer Services,7/18/19,9.3,$18.00 ,$25.08 ,$26.36 ,46.44%,S/O,
29,DouYu International Holdings,DOYU,Technology,7/17/19,67.4,$11.50 ,$11.50 ,$8.78 ,-23.65%,S/O,
30,Karuna Therapeutics,KRTX,Health Care,6/28/19,5.6,$16.00 ,$20.02 ,$16.47 ,2.94%,S/O,
31,TheRealReal,REAL,Consumer Goods,6/28/19,15,$20.00 ,$28.90 ,$17.08 ,-14.60%,S/O,
32,Adaptive Biotechnologies,ADPT,Health Care,6/27/19,15,$20.00 ,$40.30 ,$37.38 ,86.90%,S/O,
33,BridgeBio Pharma,BBIO,Health Care,6/27/19,20.5,$17.00 ,$27.55 ,$25.46 ,49.76%,S/O,
34,Change Healthcare,CHNG,Technology,6/27/19,42.9,$13.00 ,$15.00 ,$13.05 ,0.38%,S/O,
35,Morphic Holding,MORF,Health Care,6/27/19,6,$15.00 ,$18.00 ,$19.59 ,30.60%,S/O,
36,BlackRock Science and Technology Trust II,BSTZ,Financials,6/26/19,70,$20.00 ,$20.02 ,$20.77 ,3.85%,S/O,
37,Cambium Networks,CMBM,Telecommunications,6/26/19,5.8,$12.00 ,$9.70 ,$9.38 ,-21.83%,S/O,
38,Akero Therapeutics,AKRO,Health Care,6/20/19,5.8,$16.00 ,$18.32 ,$19.90 ,24.38%,S/O,
39,Atreca,BCEL,Health Care,6/20/19,7.4,$17.00 ,$18.05 ,$13.84 ,-18.59%,S/O,
40,Personalis,PSNL,Health Care,6/20/19,7.9,$17.00 ,$0.00 ,$16.81 ,-1.12%,S/O,
41,Prevail Therapeutics,PRVL,Health Care,6/20/19,7.4,$17.00 ,$13.60 ,$14.73 ,-13.35%,S/O,
42,Chewy,CHWY,Consumer Goods,6/14/19,46.5,$22.00 ,$34.99 ,$26.03 ,18.32%,S/O,
43,Fiverr International Ltd.,FVRR,Technology,6/13/19,5.3,$21.00 ,$39.90 ,$17.68 ,-15.81%,S/O,
44,CrowdStrike Holdings,CRWD,Technology,6/12/19,18,$34.00 ,$58.00 ,$62.52 ,83.88%,S/O,
45,Mohawk Group Holdings,MWK,Consumer Goods,6/12/19,3.6,$10.00 ,$10.00 ,$7.27 ,-27.30%,S/O,
46,GSX Techedu,GSX,Consumer Services,6/6/19,19.8,$10.50 ,$10.48 ,$14.07 ,34.00%,S/O,
47,Bicycle Therapeutics Limited,BCYC,Health Care,5/23/19,4.3,$14.00 ,$12.00 ,$11.10 ,-20.71%,S/O,
48,IDEAYA Biosciences,IDYA,Health Care,5/23/19,5,$10.00 ,$11.19 ,$9.15 ,-8.50%,S/O,
49,Rattler Midstream Partners LP,RTLR,Oil & Gas,5/23/19,38,$17.50 ,$19.24 ,$18.37 ,4.97%,S/O,
50,Avantor,AVTR,Health Care,5/17/19,207,$14.00 ,$14.50 ,$15.26 ,9.00%,S/O,
51,Fastly,FSLY,Technology,5/17/19,11.3,$16.00 ,$23.99 ,$26.66 ,66.63%,S/O,
52,Postal Realty Trust,PSTL,Financials,5/15/19,4.5,$17.00 ,$17.00 ,$15.22 ,-10.47%,S/O,
53,Applied Therapeutics,APLT,Health Care,5/13/19,4,$10.00 ,$9.40 ,$9.95 ,-0.50%,S/O,
54,Jiayin Group,JFIN,Financials,5/10/19,3.5,$10.50 ,$16.15 ,$13.07 ,24.48%,S/O,
55,Sonim Technologies,SONM,Telecommunications,5/10/19,3.6,$11.00 ,$10.99 ,$2.94 ,-73.27%,S/O,
56,Uber Technologies,UBER,Consumer Services,5/10/19,180,$45.00 ,$41.57 ,$31.30 ,-30.44%,S/O,
57,Axcella Health,AXLA,Health Care,5/9/19,3.6,$20.00 ,$13.80 ,$5.47 ,-72.65%,S/O,
58,Cortexyme,CRTX,Health Care,5/9/19,4.4,$17.00 ,$32.89 ,$27.28 ,60.47%,S/O,
59,HeadHunter Group PLC,HHR,Consumer Services,5/9/19,16.3,$13.50 ,$15.75 ,$19.73 ,46.15%,S/O,
60,Mayville Engineering,MEC,Industrials,5/9/19,6.3,$17.00 ,$16.47 ,$12.47 ,-26.65%,S/O,
61,Milestone Pharmaceuticals,MIST,Health Care,5/9/19,5.5,$15.00 ,$15.37 ,$18.61 ,24.07%,S/O,
62,NextCure,NXTC,Health Care,5/9/19,5,$15.00 ,$19.90 ,$38.22 ,154.80%,S/O,
63,South Plains Financial,SPFI,Financials,5/9/19,3.4,$17.50 ,$17.71 ,$16.30 ,-6.86%,S/O,
64,Parsons,PSN,Technology,5/8/19,18.5,$27.00 ,$30.07 ,$33.39 ,23.67%,S/O,
65,Trevi Therapeutics,TRVI,Health Care,5/7/19,5.5,$10.00 ,$7.89 ,$4.39 ,-56.10%,S/O,
66,Red River Bancshares,RRBI,Financials,5/3/19,0.6,$45.00 ,$50.25 ,$43.03 ,-4.38%,S/O,
67,SciPlay,SCPL,Technology,5/3/19,22,$16.00 ,$15.25 ,$10.60 ,-33.75%,S/O,
68,Beyond Meat,BYND,Consumer Goods,5/2/19,9.6,$25.00 ,$65.75 ,$142.99 ,471.96%,S/O,
69,So-Young International,SY,Technology,5/2/19,13,$13.80 ,$18.20 ,$10.08 ,-26.96%,S/O,
70,TransMedics Group,TMDX,Health Care,5/2/19,5.7,$16.00 ,$22.36 ,$23.80 ,48.75%,S/O,
71,Brigham Minerals,MNRL,Oil & Gas,4/18/19,14.5,$18.00 ,$19.92 ,$21.46 ,19.22%,S/O,
72,Greenlane Holdings,GNLN,Consumer Goods,4/18/19,6,$17.00 ,$21.10 ,$3.80 ,-77.65%,S/O,
73,HOOKIPA Pharma,HOOK,Health Care,4/18/19,6,$14.00 ,$14.00 ,$7.89 ,-43.64%,S/O,
74,Pinterest,PINS,Technology,4/18/19,75,$19.00 ,$24.40 ,$27.11 ,42.68%,S/O,
75,Zoom Video Communications,ZM,Technology,4/18/19,20.9,$36.00 ,$62.00 ,$80.02 ,122.28%,S/O,
76,Turning Point Therapeutics,TPTX,Health Care,4/17/19,9.3,$18.00 ,$28.90 ,$40.21 ,123.39%,S/O,
77,Jumia,JMIA,Consumer Goods,4/12/19,13.5,$14.50 ,$25.46 ,$8.53 ,-41.17%,S/O,
78,PagerDuty,PD,Technology,4/11/19,9.1,$24.00 ,$38.25 ,$29.00 ,20.83%,S/O,
79,Tufin Software Technologies Ltd.,TUFN,Technology,4/11/19,7.7,$14.00 ,$19.10 ,$16.91 ,20.79%,S/O,
80,Guardion Health Sciences,GHSI,Health Care,4/5/19,1.5,$4.00 ,$3.68 ,$0.79 ,-80.25%,S/O,
81,Silk Road Medical,SILK,Health Care,4/4/19,6,$20.00 ,$36.18 ,$34.58 ,72.90%,S/O,
82,Tradeweb Markets,TW,Financials,4/4/19,40,$27.00 ,$35.81 ,$39.53 ,46.41%,S/O,
83,Ruhnn Holding Ltd.,RUHN,Consumer Goods,4/3/19,10,$12.50 ,$7.85 ,$6.87 ,-45.04%,S/O,
84,"Powerbridge Technologies Co., Ltd.",PBTS,Technology,4/2/19,1.8,$5.00 ,$5.21 ,$3.62 ,-27.60%,S/O,
85,Lyft,LYFT,Consumer Services,3/29/19,32.5,$72.00 ,$78.29 ,$41.88 ,-41.83%,S/O,
86,Levi Strauss & Co.,LEVI,Consumer Goods,3/21/19,36.7,$17.00 ,$22.41 ,$18.19 ,7.00%,S/O,
87,UP Fintech Holding Limited,TIGR,Financials,3/20/19,13,$8.00 ,$10.92 ,$4.50 ,-43.75%,S/O,
88,Futu Holdings Limited,FHL,Financials,3/8/19,7.5,$12.00 ,$15.32 ,$11.44 ,-4.67%,S/O,
89,ShockWave Medical,SWAV,Health Care,3/7/19,5.7,$17.00 ,$30.50 ,$33.23 ,95.47%,S/O,
90,Kaleido Biosciences,KLDO,Health Care,2/28/19,5,$15.00 ,$14.23 ,$8.61 ,-42.60%,S/O,
91,Super League Gaming,SLGG,Consumer Services,2/26/19,2.3,$11.00 ,$8.50 ,$4.81 ,-56.27%,S/O,
92,Hoth Therapeutics,HOTH,Health Care,2/15/19,1.3,$5.60 ,$8.53 ,$4.40 ,-21.43%,S/O,
93,Avedro,AVDR,Health Care,2/14/19,5,$14.00 ,$12.29 ,$25.17 ,79.79%,S/O,
94,TCR2 Therapeutics,TCRR,Health Care,2/14/19,5,$15.00 ,$15.07 ,$16.31 ,8.73%,S/O,
95,Harpoon Therapeutics,HARP,Health Care,2/8/19,5.4,$14.00 ,$13.50 ,$14.50 ,3.57%,S/O,
96,Alector,ALEC,Health Care,2/7/19,9.3,$19.00 ,$18.00 ,$17.88 ,-5.89%,S/O,
97,New Fortress Energy,NFE,Oil & Gas,1/31/19,20,$14.00 ,$13.07 ,$18.34 ,31.00%,S/O,
98,MMTEC,MTC,Technology,1/8/19,1.8,$4.00 ,$5.94 ,$2.83 ,-29.25%,S/O,
99,360 Finance,QFIN,Financials,12/14/18,3.1,$16.50 ,$16.50 ,$9.23 ,-44.06%,S/O,
100,Tencent Music Entertainment Group,TME,Consumer Services,12/12/18,82,$13.00 ,$14.00 ,$13.14 ,1.08%,S/O,
101,Moderna,MRNA,Health Care,12/7/18,26.3,$23.00 ,$18.60 ,$17.82 ,-22.52%,S/O,
102,Synthorx,THOR,Health Care,12/7/18,11.9,$11.00 ,$12.61 ,$17.59 ,59.91%,S/O,
